,Study ID,Title,Reviewer Name,Title.1,Year of publication,Funding source,Supervised learning,Unsupervised learning,Reinforcement learning,Biological / physiological model,Algorithms used,MIMIC (any version),eICU Collaborative Research Database,Private dataset / datasets,Other public dataset,Name/names of other public dataset/datasets,Number of hospitals is specified,Total number of hospitals,Number of patient episodes is specified,Total number of patient episodes,Non-temporal,"Temporal, non-waveform","Temporal, waveform",Sepsis definition is specified,Defined using Sepsis-3,Defined using 'Infection + SIRS' ,Defined using clinical codes,Defined using other criteria,Septic shock definition is specified,Definition requires vasopressors / inotropes,Definition requires initial fluid resuscitation,Definition requires high lactate,Internal validation,External retrospective validation (other hospitals),External retrospective validation (separate dataset),Prospective observational validation,Non-randomised interventional validation (clinical trial),Randomised interventional validation (clinical trial),Regulatory approval,Post-deployment surveillance
62,Lu 2020,Is Deep Reinforcement Learning Ready for Practical Applications in Healthcare? A Sensitivity Analysis of Duel-DDQN for Hemodynamic Management in Sepsis Patients,Consensus,Is Deep Reinforcement Learning Ready for Practical Applications in Healthcare? A Sensitivity Analysis of Duel-DDQN for Hemodynamic Management in Sepsis Patients,2020,Unclear or not reported,True,False,True,False,LSTM; Dueling DDQN; GRU,True,False,False,False,,False,,True,7956,True,True,False,True,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
63,Li 2020,Optimizing Medical Treatment for Sepsis in Intensive Care: from Reinforcement Learning to Pre-Trial Evaluation,Consensus,Optimizing medical treatment for sepsis in intensive care: from reinforcement learning to pre-trial evaluation. ,2020,Unclear or not reported,True,False,True,False,actor-critic reinforcement learning; recurrent neural network; local heuristic tree search,True,False,False,False,,False,0,True,20587,True,True,False,True,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False
64,Killian 2020,An Empirical Study of Representation Learning for Reinforcement Learning in Healthcare,Consensus,An Empirical Study of Representation Learning for Reinforcement Learning in Healthcare,2020,Mixed,True,False,True,False,Discretised batch-constrained Q learning; recurrent neural network autoencoder; approximate information state; neural controlled differential equations; decoupled dynamics module; deep signature transformations; ordinary differential equations recurrent neural network,True,False,False,False,,True,1,True,19418,True,True,False,True,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
65,Peng 2019,Improving Sepsis Treatment Strategies by Combining Deep and Kernel-Based Reinforcement Learning,Consensus,Improving Sepsis Treatment Strategies by Combining Deep and Kernel-Based Reinforcement Learning,2019,Academic,False,False,True,False,deep reinforcement learning; kernel-based reinforcement learning,True,False,False,False,,False,0,True,15415,True,True,False,True,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
66,Li 2019,Optimizing Sequential Medical Treatments with Auto-Encoding Heuristic Search in POMDPs,Consensus,Optimizing Sequential Medical Treatments with Auto-Encoding Heuristic Search in POMDPs,2019,Unclear or not reported,False,False,True,False,actor-critic reinforcement learning; recurrent neural network,True,False,False,False,,True,1,True,18914,True,True,False,True,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
67,Lee 2019,Truly Batch Apprenticeship Learning with Deep Successor Features,Consensus,Truly Batch Apprenticeship Learning with Deep Successor Features,2019,Academic,False,False,True,False,inverse reinforcement learning; ,True,False,False,False,,False,0,True,17898,True,True,False,True,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
68,Belogolovsky 2019,Inverse Reinforcement Learning in Contextual MDPs,Consensus,Inverse reinforcement learning in contextual MDPs,2021,Academic,False,False,True,False,Contextual inverse RL,True,False,False,False,,True,1,True,5366,True,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
69,Raghu 2018,Model-Based Reinforcement Learning for Sepsis Treatment,Consensus,Model-Based Reinforcement Learning for Sepsis Treatment,2018,Unclear or not reported,False,False,True,False,model-based reinforcement learning,True,False,False,False,,False,,True,17898,True,True,False,True,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
71,Li 2018,The Actor Search Tree Critic (ASTC) for Off-Policy POMDP Learning in Medical Decision Making,Consensus,The Actor Search Tree Critic (ASTC) for Off-Policy POMDP Learning in Medical Decision Making,2018,Unclear or not reported,False,False,True,False,Actor search tree critic ,True,False,False,False,,True,1,True,18919,True,True,False,True,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
72,Raghu 2017,Continuous State-Space Models for Optimal Sepsis Treatment - a Deep Reinforcement Learning Approach,Consensus,Continuous State-Space Models for Optimal Sepsis Treatment - a Deep Reinforcement Learning Approach,2017,Academic,False,False,True,False,Deep RL,True,False,False,False,,False,,True,17898,True,True,False,True,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
73,Raghu 2017,Deep Reinforcement Learning for Sepsis Treatment,Consensus,Deep Reinforcement Learning for Sepsis Treatment,2017,Mixed,False,False,True,False,Deuling DDQN,True,False,False,False,,True,1,True,17898,True,True,False,True,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
