Title,Authors,Abstract,Published Year,Published Month,Journal,Volume,Issue,Pages,Accession Number,DOI,Ref,Covidence #,Study,Notes,Tags
"A Machine Learning Algorithm to Predict Severe Sepsis and Septic Shock: Development, Implementation, and Impact on Clinical Practice","Giannini, Heather M.; Ginestra, Jennifer C.; Chivers, Corey; Draugelis, Michael; Hanish, Asaf; Fishman, Neil O.; Hanson, C. William; Schweickert, William D.; Fuchs, Barry D.; Meadows, Laurie; Lynch, Michael; Donnelly, Patrick J.; Pavan, Kimberly; Umscheid, Craig A.","OBJECTIVES: Develop and implement a machine learning algorithm to predict severe sepsis and septic shock and evaluate the impact on clinical practice and patient outcomes. DESIGN: Retrospective cohort for algorithm derivation and validation, pre-post impact evaluation. SETTING: Tertiary teaching hospital system in Philadelphia, PA. PATIENTS: All non-ICU admissions; algorithm derivation July 2011 to June 2014 (n = 162,212); algorithm validation October to December 2015 (n = 10,448); silent versus alert comparison January 2016 to February 2017 (silent n = 22,280; alert n = 32,184). INTERVENTIONS: A random-forest classifier, derived and validated using electronic health record data, was deployed both silently and later with an alert to notify clinical teams of sepsis prediction. MEASUREMENT AND MAIN RESULT: Patients identified for training the algorithm were required to have International Classification of Diseases, 9th Edition codes for severe sepsis or septic shock and a positive blood culture during their hospital encounter with either a lactate greater than 2.2 mmol/L or a systolic blood pressure less than 90mm Hg. The algorithm demonstrated a sensitivity of 26% and specificity of 98%, with a positive predictive value of 29% and positive likelihood ratio of 13. The alert resulted in a small statistically significant increase in lactate testing and IV fluid administration. There was no significant difference in mortality, discharge disposition, or transfer to ICU, although there was a reduction in time-to-ICU transfer. CONCLUSION(S): Our machine learning algorithm can predict, with low sensitivity but high specificity, the impending occurrence of severe sepsis and septic shock. Algorithm-generated predictive alerts modestly impacted clinical measures. Next steps include describing clinical perception of this tool and optimizing algorithm design and delivery.",2019,,Critical Care Medicine,47,11,1485-1492,,http://dx.doi.org/10.1097/CCM.0000000000003891,,#3065,Giannini 2019,Zuzanna Bien (2022-02-08 01:22:45)(Select): uses own sepsis def but based on sepsis-3; ,""
Multi-complexity measures of heart rate variability and the effect of vasopressor titration: A prospective cohort study of patients with septic shock,"Sorensen, Jeffrey; Brown, Samuel M.; Lanspa, Michael J.; Grissom, Colin K.; Rondina, Matthew T.; Shahul, Sajid; Mathews, V. J.","Background: Septic shock is a common and often devastating syndrome marked by severe cardiovascular dysfunction commonly managed with vasopressors. Whether markers of heart rate complexity before vasopressor up-titration could be used to predict success of the up-titration is not known. Method(s): We studied patients with septic shock requiring vasopressor, newly admitted to the intensive care unit. We measured the complexity of heart rate variability (using the ratio of fractal exponents from detrended fluctuation analysis) in the 5 min before all vasopressor up-titrations in the first 24 h of an intensive care unit (ICU) admission. A successful up-titration was defined as one that did not require further up-titration (or decrease in mean arterial pressure) for 60 min. Result(s): We studied 95 patients with septic shock, with a median APACHE II of 27 (IQR: 20-37). The median number of up-titrations, normalized to 24 h, was 12.2 (IQR: 8-17) with a maximum of 49. Of the up-titrations, the median proportion of successful interventions was 0.28 (IQR: 0.12-0.42). The median of mean arterial pressure (MAP) at the time of a vasopressor up-titration was 66 mmHg; the average infusion rate of norepinephrine at the time of an up-titration was 0.11 mcg/kg/min. The ratio of fractal exponents was not associated with successful up-titration on univariate or multivariate regression. On exploratory secondary analyses, however, the long-term fractal exponent was associated (p = 0.003) with success of up-titration. Independent of heart rate variability, MAP was associated (p < 0.001) with success of vasopressor up-titration, while neither Sequential Organ Failure Assessment (SOFA) nor Acute Physiology and Chronic Health Evaluation II (APACHE II) score was associated with vasopressor titration. Conclusion(s): Only a third of vasopressor up-titrations were successful among patients with septic shock. MAP and the long-term fractal exponent were associated with success of up-titration. These two, complementary variables may be important to the development of rational vasopressor titration protocols.Copyright © 2016 The Author(s).",2016,,BMC Infectious Diseases,16,1,551,,http://dx.doi.org/10.1186/s12879-016-1896-1,,#2380,Sorensen 2016,"",""
Developing predictive models using electronic medical records: challenges and pitfalls,"Paxton, Chris; Saria, Suchi; Niculescu-Mizil, Alexandru","While Electronic Medical Records (EMR) contain detailed records of the patient-clinician encounter - vital signs, laboratory tests, symptoms, caregivers' notes, interventions prescribed and outcomes - developing predictive models from this data is not straightforward. These data contain systematic biases that violate assumptions made by off-the-shelf machine learning algorithms, commonly used in the literature to train predictive models. In this paper, we discuss key issues and subtle pitfalls specific to building predictive models from EMR. We highlight the importance of carefully considering both the special characteristics of EMR as well as the intended clinical use of the predictive model and show that failure to do so could lead to developing models that are less useful in practice. Finally, we describe approaches for training and evaluating models on EMR using early prediction of septic shock as our example application.",2013,,AMIA ... Annual Symposium proceedings / AMIA Symposium. AMIA Symposium,2013,,1109-1115,,,,#1772,Paxton 2013,"",""
Classification models to predict vasopressor administration for septic shock in the emergency department,"Prasad, Varesh; Lynch, James C.; Pasakarnis, Corey L.; Thorsen, Jill E.; Filbin, Michael R.; Reisner, Andrew T.; Heldt, Thomas","Optimal management of sepsis and septic shock in the emergency department (ED) involves timely decisions related to intravenous fluid resuscitation and initiation of vasoactive medication support. A decision-support tool trained on electronic health record data, can help improve this complex decision. We retrospectively extracted vital signs, lab measurements, and fluid administration information from 807 patient visits over a two-year period to a major ED. Patients selected for inclusion had a high likelihood of septic shock. We trained binary classifiers to discriminate between patients administered vasopressors in the ED and those not administered vasopressors at any point. Using features extracted from the entire ED visit record yielded a maximum area under the receiver-operating characteristic curve (AUC) of 0.798 (95% CI 0.725-0.849) in a hold-out test set. In a separate task, we used individual vital signs observations with lab results to predict vasopressor administration, yielding a maximum AUC of 0.762 (95% CI 0.748-0.777). Lastly, we trained separate classifiers for different subgroups of vital signs observations. These subgroups were defined by the cumulative number of fluid boluses delivered at the time of the observation. The maximum AUC achieved by any of these classifiers was 0.815 (95% CI 0.784-0.853), occurring for vital signs observations made after 2 bolus administrations. Classifiers in all tasks significantly outperformed existing clinical tools for assessing prognosis in ED sepsis. This work shows how relatively few features can provide instantaneous and accurate prediction of need for an intervention that is typically a complex clinical decision.",2017,,Conference proceedings : ... Annual International Conference of the IEEE Engineering in Medicine and Biology Society. IEEE Engineering in Medicine and Biology Society. Annual Conference,2017,,2650-2653,,http://dx.doi.org/10.1109/EMBC.2017.8037402,,#2602,Prasad 2017,"",""
"Enhancement in Performance of Septic Shock Prediction Using National Early Warning Score, Initial Triage Information, and Machine Learning Analysis","Yun, Hyoungju; Choi, Dong Hyun; Park, Jeong Ho; Shin, Sang Do; Jang, Myoung-jin; Kong, Hyoun-Joong; Kim, Suk Wha","Background: Several studies reported that the National Early Warning Score (NEWS) has shown superiority over other screening tools in discriminating emergency department (ED) patients who are likely to progress to septic shock. Objective(s): To improve the performance of the NEWS for septic shock prediction by adding variables collected during ED triage, and to implement a machine-learning algorithm. Method(s): The study population comprised adult ED patients with suspected infection. To detect septic shock within 24 h after ED arrival, the Sepsis-3 clinical criteria and nine variables were used: NEWS, age, gender, systolic blood pressure, diastolic blood pressure, pulse rate, respiratory rate, body temperature, and oxygen saturation. The model was developed using logistic regression (LR), extreme gradient boosting (XGB), and artificial neural network (ANN) algorithms. The evaluations were performed using an area under the receiver operating characteristic curve (AUROC), Hosmer-Lemeshow test, and net reclassification index (NRI). Result(s): Overall, 41,687 patients were enrolled. The AUROC of the model with NEWS, age, gender, and the six vital signs (0.835-0.845) was better than that of the baseline model (0.804). The XGB model (AUROC 0.845) was the most accurate, compared with LR (0.844) and ANN (0.835). The LR and XGB models were well calibrated; however, the ANN showed poor calibration power. The LR and XGB models showed better reclassification than the baseline model with positive NRI. Conclusion(s): The discrimination power of the model for screening septic shock using NEWS, age, gender, and the six vital signs collected at ED triage outperformed the baseline NEWS model.Copyright © 2021 Elsevier Inc.",2021,,Journal of Emergency Medicine,61,1,1-11,,http://dx.doi.org/10.1016/j.jemermed.2021.01.038,,#3912,Yun 2021,"",""
Prediction of Septic Shock Onset in ICU by Instantaneous Monitoring of Vital Signs,"Mollura, Maximiliano; Romano, Stefano; Mantoan, Giulio; Lehman, Li-Wei; Barbieri, Riccardo","Septic Shock is a critical pathological state that affects patients entering the intensive care unit (ICU). Many studies have been directed to characterize and predict the onset of the septic shock, both in ICU and in the Emergency Department employing data extracted from the Electronic Health Records. Recently, machine learning algorithms have been successfully employed to help characterize septic shock in a more objective and automatic fashion. Only a few of these studies employ information contained in the continuously recorded vital signs such as electrocardiogram and arterial blood pressure. In particular, we have devised a novel feature estimation procedure able to consider instantaneous dynamics related to cardiovascular control. This work aims at developing a short-term prediction algorithm for identifying patients experiencing septic shock among a population of 100 septic patients extracted from the MIMIC-III clinical and waveform database. Among all the results obtained from several trained machine learning models, the best performance reached an AUC on the test set equal to 0.93 (Accuracy=0.85, Sensitivity=0.89 and Specificity=0.82).",2020,,Annual International Conference of the IEEE Engineering in Medicine and Biology Society. IEEE Engineering in Medicine and Biology Society. Annual International Conference,2020,,2768-2771,,https://dx.doi.org/10.1109/EMBC44109.2020.9176276,,#4657,Mollura 2020,"",""
Individualized fluid administration for critically ill patients with sepsis with an interpretable dynamic treatment regimen model,"Zhang, Zhongheng; Zheng, Bin; Liu, Nan","Fluid strategy is the key to the successful management of patients with sepsis. However, previous studies failed to consider individualized treatment strategy, and clinical trials typically included patients with sepsis as a homogeneous study population. We aimed to develop sequential decision rules for managing fluid intake in patients with sepsis by using the dynamic treatment regimen (DTR) model. A retrospective analysis of the eICU Collaborative Research Database comprising highly granular data collected from 335 units at 208 hospitals was performed. The DTR model used a backward induction algorithm to estimate the sequence of optimal rules. 22,868 patients who had sepsis according to the Acute Physiology and Chronic Health Evaluation (APACHE) IV diagnosis group were included. Optimal fluid management (liberal [>40 ml/kg/d] versus restricted [<40 ml/kg/d]) strategy were developed on the Day 1, 3 and 5 after ICU admission according to current states and treatment history. Important determinants of optimal fluid strategy included mean blood pressure, heart rate, previous urine output, previous fluid strategy, ICU type and mechanical ventilation. Different functional forms such as quadratic function and interaction terms were used at different stages. The proportion of subjects being inappropriately treated with liberal fluid strategy (i.e. those actually received liberal fluid strategy, but could have longer survival time if they received restricted fluid strategy) increased from day 1 to 5 (19.3% to 29.5%). The survival time could be significantly prolonged had all patients been treated with optimal fluid strategy (5.7 [2.0, 5.9] vs. 4.1 [2.0, 5.0] days; p<0.001). With a large volume of sepsis data, we successfully computed out a sequence of dynamic fluid management strategy for sepsis patients over the first 5 days after ICU admission. The decision rules generated by the DTR model predicted a longer survival time compared to the true observed strategy, which sheds light for improving patient outcome with the aim from computer-assisted algorithm.",2020,,Scientific reports,10,1,17874,,http://dx.doi.org/10.1038/s41598-020-74906-z,,#3683,Zhang 2020,"",""
LiSep LSTM: A Machine Learning Algorithm for Early Detection of Septic Shock,"Fagerstrom, Josef; Bang, Magnus; Chew, Michelle S.; Wilhelms, Daniel","Sepsis is a major health concern with global estimates of 31.5 million cases per year. Case fatality rates are still unacceptably high, and early detection and treatment is vital since it significantly reduces mortality rates for this condition. Appropriately designed automated detection tools have the potential to reduce the morbidity and mortality of sepsis by providing early and accurate identification of patients who are at risk of developing sepsis. In this paper, we present ""LiSep LSTM""; a Long Short-Term Memory neural network designed for early identification of septic shock. LSTM networks are typically well-suited for detecting long-term dependencies in time series data. LiSep LSTM was developed using the machine learning framework Keras with a Google TensorFlow back end. The model was trained with data from the Medical Information Mart for Intensive Care database which contains vital signs, laboratory data, and journal entries from approximately 59,000 ICU patients. We show that LiSep LSTM can outperform a less complex model, using the same features and targets, with an AUROC 0.8306 (95% confidence interval: 0.8236, 0.8376) and median offsets between prediction and septic shock onset up to 40hours (interquartile range, 20 to 135hours). Moreover, we discuss how our classifier performs at specific offsets before septic shock onset, and compare it with five state-of-the-art machine learning algorithms for early detection of sepsis.",2019,,Scientific reports,9,1,15132,,http://dx.doi.org/10.1038/s41598-019-51219-4,,#3049,Fagerstrom 2019,"",""
Continuous Administration of Norepinephrine Assisted by Fuzzy Logic Assisted Control in Septic Shock Patients,"",The weaning rate of vasopressors drugs is usually chosen empirically by the clinician in critically patients. The investigators applied fuzzy logic principles to modify intravenous norepinephrine infusion rates during norepinephrine infusion in septic patients in order to reduce the duration of shock. The investigators goal was to reduce the duration of poorly controlled hemodynamic status.,2008,"September 30, 2008",ClinicalTrials.gov,,,,,,,#230,,"",""
Reduced Rank Least Squares for Real-Time Short Term Estimation of Mean Arterial Blood Pressure in Septic Patients Receiving Norepinephrine,"Tang, Yi; Brown, Samuel; Sorensen, Jeff; Harley, Joel B.","Norepinephrine (NE), an endogenous catecholamine, is a mainstay treatment for septic shock, which is a life-threatening manifestation of severe infection. NE counteracts the loss in blood pressure associated with septic shock. However, an NE infusion that is too low fails to counteract the blood pressure drop, and an NE infusion that is too high can cause a hypertensive crisis and heart attack. Ideally, the NE infusion rate should maintain a patient's mean arterial blood pressure (MAP) above 65 mmHg. There are a few data-driven, quantitative models to predict the MAP, and incorporate NE effects. This paper presents a model, driven by intensive care unit (ICU) measurable data and known NE inputs, to predict the future MAP of an ICU patient. We derive a least square estimation model for MAP based on available ICU data, including heart period, NE infusion rate, and respiration wave. We learn the parameters of our model from initial patient data and then use this information to predict future MAP data. We assess our model with data from 12 septic patients. Our model successfully predicts and tracks MAP when the NE infusion rate changes. Specifically, we predict MAP 3 to 20 min in the future with the mean error of less than 4 to 7 mmHg over 12 patients. Conclusion(s): this new approach creates the potential to advance methods for predicting NE infusion rate in septic patients. Significance: successfully predicted patients' MAP could reduce catastrophic human error and lessen clinicians' workload.Copyright © 2013 IEEE.",2019,,IEEE Journal of Translational Engineering in Health and Medicine,7,,8730417,,http://dx.doi.org/10.1109/JTEHM.2019.2919020,,#3278,Tang 2019,Finneas Catling (2022-02-05 23:07:45)(Select): They learn a model to predict future MAP for NA titration (simply aiming at MAP 60-70) in SS patients; Finneas Catling (2021-09-23 16:26:27)(Screen): Not clear whether they intend the predictions to inform future rx; ,""
Mixed fuzzy clustering for deriving predictive models in intensive care units,"Salgado, C. M.; Vieira, S. M.; Sousa, J. M. C.","This chapter presents two novel approaches for the identification of Takagi-Sugeno fuzzy models with time variant and time invariant features. The mixed fuzzy clustering (MFC) algorithm is used for determining the parameters of Takagi-Sugeno fuzzy models (FMs) in two different ways: (1) MFC FM, where the antecedent fuzzy sets are determined based on the partition matrix generated by the mixed fuzzy clustering algorithm; (2) FCM–UMFC FM, where the input features are transformed using MFC and the antecedent fuzzy sets are derived using fuzzy c-means (FCM). The fuzzy modeling approaches are tested on four health care applications for the classification of critically ill patients: administration of vasopressors in pancreatitis and pneumonia patients, mortality in septic shock and early readmissions. Both approaches increase the performance of Takagi-Sugeno based on FCM, in all datasets. In particular, the best performer, FCM–UMFC FM, achieves notable improvements in the four datasets. © Springer International Publishing AG 2018.",2018,,International Series in Operations Research and Management Science,262,,81-99,,10.1007/978-3-319-65455-3_4,,#5646,Salgado 2018,Finneas Catling (2022-02-07 22:17:34)(Select): Identifies clusters of pneumonia patients who required vasopressors. Suggest include but discuss limitations of associative recommender systems; ,""
