Title,Authors,Abstract,Published Year,Published Month,Journal,Volume,Issue,Pages,Accession Number,DOI,Ref,Covidence #,Study,Notes,Tags
A comparison of risk factors for septic shock in renal transplant recipients with liver transplant recipients with bloodstream infections,"Wan, Qiquan; Xie, Wenzhao; Ye, Qifa","Background: More data on the risk factors for septic shock in renal and liver transplant recipients with bloodstream infections (BSIs) are needed. From January 1, 2003 to February 28, 2014, the risk factors for septic shock were evaluated in renal and liver transplant recipients with BSIs. Method(s): During the retrospective study period, 83 renal recipients and 67 liver recipients developed BSIs. Risk factors for septic shock were identified by univariate and multivariate logistic regression analysis. Result(s): The mean age for these renal and liver transplant recipients with BSIs was 41.5 years (41.5 +/- 12.3 years) and 45.7 years (45.7 +/- 13.0 years), respectively. The multivariate logistic regression analysis identified platelet count < 50000/mm 3 (odds ratio (OR) = 9.104, 95% confidence interval (CI) = 2.684-30.877, P < 0.001) and lymphocyte count < 300/mm3 (OR = 4.541, 95% CI = 1.451-14.206, P = 0.009) as independent predictors of septic shock in renal transplant recipients with BSIs. However, the multivariate logistic regression analysis identified creatinine > 1.5 mg/dL (OR = 4.812, 95% CI = 1.335-17.343, P = 0.016) and white blood cell count > 15000/mm 3 (OR = 6.709, 95% CI = 1.833-24.552, P = 0.004) and body temperature of 40degreeC or higher at the onset of BSIs (OR = 21.773, 95% CI = 2.073-228.724, P = 0.010) as independent predictors of septic shock in liver transplant recipients with BSIs. Conclusion(s): The risk factors significantly associated with septic shock in renal transplant recipients with BSIs are decreased platelet and lymphocyte count, whereas the risk factors were elevated creatinine, white blood cell count and body temperature at the onset of BSIs among liver transplant recipients with BSIs.",2014,,Experimental and clinical cardiology,20,6,3587-3597,,,,#1991,Wan 2014,"Exclusion reason: Full text unavailable; Paul Festor (2021-11-26 22:38:01)(Select): Requested full text access on ResearchGate, no answer yet.; ",""
Inferior vena cava collapsibility index is a valuable and non-invasive index for elevated general heart end-diastolic volume index estimation in septic shock patients,"Zhao, J.; Wang, G.","Background: This study aimed to investigate the relationship between the inferior vena cava respirophasic variation (IVC collapsibility index [IVCCI]) and the general heart end-diastolic volume index (GEDVI). By determining the above relationship, we could evaluate the utility of IVCCI as an indicator. Material/Methods: Forty-two septic patients were finally enrolled in this study. The inferior vena cava’s diameter was measured with the largest at the end of expiration (IVC3) and with the smallest at the end of inspiration (IVCi) on the ultrasound (IVCCI=[(IVCD e-IVCD i)/IVCD e] ×100%). The central venous pressure (CVP), cardiac index (CI), and GEDVI were also measured at least 3 times. After fluid resuscitation therapy, the patients with a CI increase induced by more than 15% and less than 15% were classified as the positive response group (PRG) and the negative response group (NRG), respectively. Results: After treatment, the average levels of CVP, CI, and GEDVI were significantly higher (P&lt;0.01) in both groups, whereas the IVCCI was reduced. CVP, CI, and GEDVI were negatively correlated with IVCCI in both groups. The correlation coefficient between IVCCI and GEDVI was the greatest (correlation coefficient in the PRG group was 0.889 and in the NRG group it was 0.672). The ROC curve analysis indicated that IVCCI illustrated the best area under the curve, with a sensitivity of 100% and specificity of 100%, and a cut-off value of 12.9% to predict GEDVI &lt;600 ml/m2 in the PRG group. Conclusions: IVCCI was a good predictor of low-volume state. The IVCCI appears to be a valuable and non-invasive index for the estimation of elevated GEDVI during fluid resuscitation in septic shock patients. © Med Sci Monit.",2016,,Medical Science Monitor,22,,3843-3848,,10.12659/MSM.897406,,#5471,Zhao 2016,Exclusion reason: Non-routinely-collected data; ,""
Cardiac troponins I and T are biological markers of left ventricular dysfunction in septic shock,"Ver Elst, Kristien M.; Spapen, Herbert D.; Nguyen, Duc Nam; Huyghens, Luc P.; Garbar, Christian; Gorus, Frans K.","Background: Cardiac depression in severe sepsis and septic shock is characterized by left ventricular (LV) failure. To date, it is unclear whether clinically unrecognized myocardial cell injury accompanies, causes, or results from this decreased cardiac performance. We therefore studied the relationship between cardiac troponin I (cTnI) and T (cTnT) and LV dysfunction in early septic shock. Method(s): Forty-six patients were consecutively enrolled, fluid-resuscitated, and treated with catecholamines. Cardiac markers were measured at study entry and after 24 and 48 h. LV function was assessed by two-dimensional transesophageal echocardiography. Result(s): Increased plasma concentrations of cTnI (>=0.4 mug/L) and cTnT (>=0.1 mug/L) were found in 50% and 36%, respectively, of the patients at one or more time points. cTnI and cTnT were significantly correlated (r = 0.847; P <0.0001). Compared with cTnI-negative patients, cTnI-positive subjects were older, presented higher Acute Physiology and Chronic Health Evaluation II scores at diagnosis, and tended to have a worse survival rate and a more frequent history of arterial hypertension or previous myocardial infarction. In contrast, the two groups did not differ in type of infection or pathogen, or in dose and type of catecholamine administered. Continuous electrocardiographic monitoring in all patients and autopsy in 12 nonsurvivors did not disclose the occurrence of acute ischemia during the first 48 h of observation. LV dysfunction was strongly associated with cTnI positivity (78% vs 9% in cTnI-negative patients; P <0.001). In multiple regression analysis, both cTnI and cTnT were exclusively associated with LV dysfunction (P <0.0001). Conclusion(s): These findings suggest that in septic shock, clinically unrecognized myocardial cell injury is a marker of LV dysfunction. The latter condition tends to occur more often in severely ill older patients with underlying cardiovascular disease. Further studies are needed to determine the extent to which myocardial damage is a cause or a consequence of LV dysfunction. (C) 2000 American Association for Clinical Chemistry.",2000,,Clinical Chemistry,46,5,650-657,,http://dx.doi.org/10.1093/clinchem/46.5.650,,#1038,VerElst 2000,Exclusion reason: Doesn't guide CV treatment; Zuzanna Bien (2022-02-02 03:36:55)(Select): cardiac markers predict LV dysfunction - do not inform management; Finneas Catling (2021-10-05 04:04:51)(Screen): need to see if intends to inform inotrope rx; ,""
Prediction of sepsis progression in critical illness using artificial neural network,"Suhaimi, F. M.; Chase, J. G.; Shaw, G. M.; Jamaludin, U. K.; Razak, N. N.; Ibrahim, F.; Mohktar, M. S.; Ahmad, M. Y.; Usman, J.","Early treatment of sepsis can reduce mortality and improve a patient condition. However, the lack of clear information and accurate methods of diagnosing sepsis at an early stage makes it become a significant challenge. The decision to start, continue or stop antimicrobial therapy is normally base on clinical judgment since blood cultures will be negative in the majority of cases of septic shock or sepsis. However, clinical guidelines are still required to provide guidance for the clinician caring for a patient with severe sepsis or septic shock. Guidelines based on patient’s unique set of clinical variables will help a clinician in the process of decision making of suitable treatment for the particular patient. Therefore, biomarkers for sepsis diagnosis with a reasonable sensitivity and specificity are a requirement in ICU settings, as a guideline for the treatment. Moreover, the biomarker should also allow availability in real-time and prediction of sepsis progression to avoid delay in treatment and worsen the patient condition. © International Federation for Medical and Biological Engineering 2016.",2016,,"International Conference for Innovation in Biomedical Engineering and Life Sciences, ICIBEL 2015",56,,127-132,,10.1007/978-981-10-0266-3_26,,#5457,Suhaimi 2016,"Exclusion reason:  Predicts sepsis / severe sepsis; Finneas Catling (2022-02-14 22:56:33)(Select): Predicts 'sepsis score' in septic patients, with no subgroup analysis for patients with SS; Finneas Catling (2022-02-14 22:42:39)(Select): I've added the PDF; Zuzanna Bien (2022-02-14 21:40:44)(Select): can't find full text; ",""
Role of Cardiovascular Color Doppler Imaging Information Technology Under Artificial Intelligence Neural Network in the Diagnosis of Septic Shock Patients,"Shen, Hualiang; Liu, Xiatian; Jiang, Zhenzhen; Hu, Yinfeng; Ye, Hongwei","To investigate the effect of cardiovascular color doppler ultrasound imaging information technology based on artificial intelligence neural network in the diagnosis of septic shock, in this study, 24 patients with septic shock were selected as study subjects and volume resuscitation was performed in all patients using a central venous catheter device. Color Doppler ultrasound based on artificial intelligence neural network was used to image and calculate cardiovascular ultrasound image information parameters (left ventricular outflow tract maximum peak flow rate (Vspeak), left ventricular end-diastolic volume (LEDV), the maximum diameter of inferior vena cava (IVCe) and the minimum diameter of inferior vena cava (IVCi), cardiac output (CO), inferior vena cava collapse index (IVC-CI)) before and after treatment. The vital sign parameters (central venous pressure (CVP), diastolic blood pressure (DBP), systolic blood pressure (SBP), mean blood pressure (MBP), and heart rate (HR)) of patients were tested before and after treatment. The results showed that CVP(7.78mmHg), DBP (62.16mmHg), SBP (104.42mmHg), and MBP (76.21mmHg) after treatment were higher than before treatment, and HR (109.31 BPM) was lower than before treatment (P< 0.05). LEDV (65.02ml), IVCe (1.73cm), IVCi (0.93cm), CO (4.20l /min), and IVC-CI (0.59) were greater than those before treatment (P< 0.05). DBP, SBP, CVP, and CVC-CI of septic shock patients were significantly correlated with CVP (P< 0.01). Cardiovascular Doppler ultrasound took less time than central venous measurement. In conclusion, color Doppler ultrasound imaging based on artificial intelligence neural network can quantitatively evaluate the condition changes of infectious patients before and after treatment, which is safe, feasible, and taking less time.Copyright © 2020. Published by Elsevier B.V.",2020,,Neuroscience Letters,,,135199,,http://dx.doi.org/10.1016/j.neulet.2020.135199,,#3620,Shen 2020,Exclusion reason: Paper withdrawn; Zuzanna Bien (2022-02-02 03:58:28)(Select): looks like it's been withdrawn; Finneas Catling (2021-09-27 21:58:06)(Screen): Doesn't recommend rx.; ,""
A fuzzy decision support system for therapy administration in cardiovascular intensive care patients,"Denaï, M.; Mahfouf, M.; Ross, J.","we propose a fuzzy logic based decision support system for the management of post-surgical cardiac intensive care unit (CICU) patients. The decision support system includes an input module to evaluate the patient's hemodynamic status, a diagnostic module which implements the expert decision-making strategies and a therapeutic module which incorporates a multiple-drug fuzzy control system for the execution of the therapeutic recommendations. The decision support is comprehensively validated on a physiological model of the human cardiovascular hemodynamics whose parameters have been modified to reproduce the key pathophysiological features of hypertension, hypotension hypovolemia and septic shock. Three different scenarios of increasing severity of these pathophysiological conditions are considered to evaluate the effectiveness of the multiple-drug controllers under combined infusions of vasoactive and inotropic drugs. © 2007 IEEE.",2007,,"2007 IEEE International Conference on Fuzzy Systems, FUZZY",,,,,10.1109/FUZZY.2007.4295361,,#5011,Denaï 2007,"Exclusion reason: Synthetic data only; Zuzanna Bien (2022-02-02 03:54:00)(Select): ""The decision support is comprehensively validated on a
physiological model of the human cardiovascular
hemodynamics whose parameters have been modified to
reproduce the key pathophysiological features of hypertension,
hypotension hypovolemia and septic shock. "" - seems like synthetic data; ",""
Optimal Timing for Vasopressor Initiation in Septic Shock : Revisiting the Surviving Sepsis Campaign guidelines using Machine Learning,"Waschka, A.; Komorowski, M.; Hubbard, A.; Pirracchio, R.","INTRODUCTION. The Surviving Sepsis Campaign [1] recommends to administer 30 ml/kg of fluid within 3 hours following the onset of hypotension, before introducing vasopressors. However, evidence supporting this recommendation is lacking. OBJECTIVES. Determine i) the optimal timing and ii) the optimal fluid volume before vasopressor introduction in septic shock. METHODS. We used the data from the MIMIC II dataset. (2) To be included, patients had to present an acute hypotensive episode of septic origin and a lactate level > 2 mmol/l. The primary outcome measure was hospital mortality. We used a machine learning approach accounting for time-varying confounders called longitudinal targeted maximum likelihood estimation. (3) RESULTS. 933 patients were included: SOFA 7; arterial lactate 3.3 mmol/L, average hospital mortality rate 11.5%. Hospital mortality was significantly minimized when vasopressors where introduced by hour 3 following the onset of hypotension. When compared to 30 ml/kg, switching to vasopressors after 5 or 10 ml/kg was associated with reduced mortality (Fig. 1). CONCLUSION. In septic shock, administering 5-10 ml / kg within 3 hours after the onset of hypotension appears to maximize the chance of survival. (Figure Presented) .",2019,,Intensive Care Medicine Experimental,7,Supplement 3,,,http://dx.doi.org/10.1186/s40635-019-0265-y,,#3301,Waschka 2019,Exclusion reason: Poster / oral presentation; ,""
"Guided Fluid-balance Optimization With Mini-fluid chALlenge During Septic Shock: A Multicenter, Stepped Wedge Cluster Randomized Trial","","Many observational studies have highlighted an independent association between fluid overload and clinical outcomes during septic shock. To optimize fluid balance, clinician has several options to consider carefully fluid administration and avoid fluid overload. More than a general restrictive approach, a pragmatic, individual tailored approach should be considered to optimize patients' hemodynamics during acute circulatory failure. Many advances in hemodynamic monitoring were described. Mini-fluid challenge appears to be a sensible method to use for bedside assessment to optimize fluid infusion. The next step for hemodynamic management in the ICU should be to test a hemodynamic goal-directed approach to better control fluid management and eventually improve patient's outcome. The main objective of the GOAL study is to evaluate a pragmatic optimization fluid management protocol tailored to each patient's hemodynamic status based on mini-fluid challenges. This intervention will be compared to usual management based on the latest guidelines. This intervention aims to decrease organ dysfunction during septic shock. This is the first large clinical trial designed to test this hypothesis.",2018,"March 6, 2018",ClinicalTrials.gov,,,,,,,#627,,Exclusion reason: Clinical trial withdrawn; ,""
Predictors of early progression to severe sepsis or shock among emergency department patients with nonsevere sepsis,"Gupta, Namita; Lulaj, Elizabeth; Furgiuele, Miriam; Gennis, Paul; Birnbaum, Adrienne; Hidalgo, Idaly; Jones, Michael P.; Jolly, Tiphany; Holder, Andre L.","Background: Progression from nonsevere sepsis-i.e., sepsis without organ failure or shock-to severe sepsis or shock among emergency department (ED) patients has been associated with significant mortality. Early recognition in the ED of those who progress to severe sepsis or shock during their hospital course may improve patient outcomes. We sought to identify clinical, demographic, and laboratory parameters that predict progression to severe sepsis, septic shock, or death within 96 h of ED triage among patients with initial presentation of nonsevere sepsis. Method(s): This is a retrospective cohort of patients presenting to a single urban academic ED from November 2008 to October 2010. Patients aged 18 years or older who met criteria for sepsis and had a lactate level measured in the ED were included. Patients were excluded if they had any combination of the following: a systolic blood pressure <90 mmHg upon triage, an initial whole blood lactate level >=4 mmol/L, or one or more of a set of predefined signs of organ dysfunction upon initial assessment. Disease progression was defined as the development of any combination of the aforementioned conditions, initiation of vasopressors, or death within 96 h of ED presentation. Data on predefined potential predictors of disease progression and outcome measures of disease progression were collected by a query of the electronic medical record and via chart review. Logistic regression was used to assess associations of potential predictor variables with a composite outcome measure of sepsis progression to organ failure, hypotension, or death. Result(s): In this cohort of 582 ED patients with nonsevere sepsis, 108 (18.6 %) experienced disease progression. Initial serum albumin <3.5 mg/dL (OR 4.82; 95 % CI 2.40-9.69; p < 0.01) and a diastolic blood pressure <52 mmHg at ED triage (OR 4.59; 95 % CI 1.57-13.39; p < 0.01) were independently associated with disease progression to severe sepsis or shock within 96 h of ED presentation. There were no deaths within 96 h of ED presentation. Conclusion(s): In our patient cohort, serum albumin <3.5 g/dL and an ED triage diastolic blood pressure <52 mmHg independently predict early progression to severe sepsis or shock among ED patients with presumed sepsis.Copyright © 2016, Holder et al.",2016,,International Journal of Emergency Medicine,9,1,1-11,,http://dx.doi.org/10.1186/s12245-016-0106-7,,#2263,Gupta 2016,"Exclusion reason:  Predicts sepsis / severe sepsis; Zuzanna Bien (2022-02-08 01:33:33)(Select): outcome was 'disease progression' - a composite measure which included, but was not exclusive to, septic shock. exclude? ; ",""
Physiological modelling and multivariable SOFLC of drug administration for critically IU patients,"King, O. K.; Mahfouf, M.; Ross, J. J.; Denai, M.","A compartmental model is modified to simulate the capillary leak associated with Sepsis and Cardiopulmonary Bypass (CPB). Sepsis refers to a systemic inflammatory response to bacterial infection. This involves continuously updating the oncotic pressures with regard to the flows in and out of each compartment. As a result, it is possible to model the effects of administering fluids with different oncotic pressures on filtration. The model allows for simulated infusions of vasoactive and inotropic drugs with a range of sensitivities to these drugs, giving a comprehensive platform for testing various control strategies. Furthermore, self-organising fuzzy logic control (SOFLC), drug sensitivity estimation, linear decoupling and noise filtering were used to control this system in a multivariable control scheme. © 2007 IEEE.",2007,,"2007 IEEE International Conference on Fuzzy Systems, FUZZY",,,,,10.1109/FUZZY.2007.4295568,,#5017,King 2007,Exclusion reason: Synthetic data only; ,""
"Right data, right now-robust external validation of a deep reinforcement learning model to optimize hemodynamic treatment of critically ill patients with sepsis","Roggeveen, L.; Guo, T.; Fleuren, L.; Thoral, P. J.; Girbes, A.; Elbers, P. W. G.; Eiben, A. E.; Hoogendoorn, M.","INTRODUCTION. Sepsis is defined as life-threatening organ dysfunction caused by a dysregulated host response to infection [1]. Sepsis leads to haemodynamic changes, low blood pressure and insufficient tissue oxygenation. To determine whether a patient has received 'adequate fluid resuscitation' or needs vasopressor therapy, no criteria can be explicitly specified. Furthermore, it is recommended to individualize the target blood pressure during shock resuscitation [2]. Truly, there is a need for a more personalised treatment protocol. In 2017, Raghu et al. developed a deep reinforcement learning algorithm to determine optimal treatment policies for septic patients by using a continuous state space reinforcement learning model [3]. Their model was developed on data 24hours prior to 48hours after the onset of sepsis. They found that their model could reduce patient mortality in the hospital. To the best of our knowledge, no external validation of this model design has been performed. OBJECTIVES. To perform a clinical external validation of reinforcement learning models for the haemodynamic treatment of sepsis. The goal is to evaluate whether a reinforcement learning model could improve sepsis treatment if incorporated in an intensive care clinical workflow. METHODS. We perform a quantitative and qualitative analysis of reinforcement learning for sepsis treatment. Due to data limitations, we redeveloped a double deep duelling Q-learning model on the US based on Raghu's design on the MIMIC dataset. We applied the model to a new Dutch dataset of over 4000 critically ill patients treated in the ICU between 2003 and 2016. We perform robust external validation by assessing model performance and transferability under clinically applicable inclusion criteria on two time periods with different data granularity. Furthermore, we develop a sparse model based on physiological parameters only to investigate the importance of severity scores in relation to transferability. We quantify the performance using the weighted doubly robust (WDR) estimator and the weighted importance sampling (WIS) methods. RESULTS. Physician performance on the MIMIC dataset was 9.2 (WDR) and 7.8 (WDR) on the Dutch dataset consistent with the higher observed mortality in the Dutch dataset. Further results of the model performance are pending. CONCLUSION. Reinforcement learning based model performance varies across different patient populations. It is possible to develop a model based on sparse physiological parameters only. It is vital to evaluate model performance under clinical settings that simulate how a model would be incorporated into a clinical workflow. Model performance should be robust against conceptual drift; differences in data granularity, treatment plans and patient populations. More research is needed to evaluate model performance before such models can be applied in a clinical setting and potentially help reduce ICU mortality.",2019,,Intensive Care Medicine Experimental,7,Supplement 3,,,http://dx.doi.org/10.1186/s40635-019-0265-y,,#3228,Roggeveen 2019,Exclusion reason: Poster / oral presentation; ,""
Hemoguide: A new tool for decision-making support in critically ill patients,"Minini, A.; Malbrain, M. L.; Sakka, S. G.; Belda, F. J.; Kirov, M.; Teboul, J. L.; Huber, W.; Perel, A.; Fernandez-Mondejar, E.; Molnar, Z.","Introduction: Artificial intelligence (AI) is receiving increasing interest in modern ICU. The purpose of this project was to develop an application software for guiding hemodynamic decision support in critically ill patients. Method(s): We validated a dataset of 634 data lines containing hemodynamic variables and treatment options. We selected nine hemodynamic variables as inputs. Furthermore, data were collected regarding underlying conditions: heart failure, septic shock, renal failure or respiratory failure or a combination. We applied DataStories regression on the dataset (Turnhout, Belgium, www.datastories.com). Six different interventions were analyzed as KPI: administration or removal of fluids, increasing or decreasing inotropes and increasing or decreasing vasopressors. Finally, we elaborated and challenged 63537 predictive models to generate a decision algorithm to predict each KPI. We first looked at how each hemodynamic parameter impacts the prediction of each KPI individually and performed a standard correlation analysis as well as a more involved analysis of the mutual information content between each KPI and all other hemodynamic parameters individually. Confusion matrix and variable importance was obtained for each KPI. Result(s): The baseline hemodynamic parameters were: GEDVi 738+/-218 ml/m2, EVWLi 11.2+/-5.5 ml/kg PBW, SVV 14.8+/-8 %, MBP 77.8+/-16.5 mmHg, HR 94.2+/-23.5 bpm, CI 3.3+/-1.2 L/min.m2. The results of the regression analysis identified the different variables of importance for each of the different interventions (Fig 1A). Based on these results the hemodynamic variables (HR, MBP, GEDVI, ELWI, CI, SVV) were used to develop the final HemoGuide prediction model (Fig 1B). Conclusion(s): The HemoGuide app can be used to advise physicians with respect to basic therapeutic decisions at the bedside or as an educational tool for students. With the collection of new data, the accuracy of the system may grow over time. The next step of the project is to develop a more-sophisticated suite: the ICU cockpit.",2020,,Critical Care,24,Supplement 1,,,http://dx.doi.org/10.1186/s13054-020-2772-3,,#3557,Minini 2020,Exclusion reason: Poster / oral presentation; ,""
Understanding the Artificial Intelligence Clinician and optimal treatment strategies for sepsis in intensive care,"Komorowski, Matthieu; Celi, Leo A.; Badawi, Omar; Gordon, Anthony C.; Faisal, A. Aldo","In this document, we explore in more detail our published work (Komorowski, Celi, Badawi, Gordon, & Faisal, 2018) for the benefit of the AI in Healthcare research community. In the above paper, we developed the AI Clinician system, which demonstrated how reinforcement learning could be used to make useful recommendations towards optimal treatment decisions from intensive care data. Since publication a number of authors have reviewed our work (e.g. Abbasi, 2018; Bos, Azoulay, & Martin-Loeches, 2019; Saria, 2018). Given the difference of our framework to previous work, the fact that we are bridging two very different academic communities (intensive care and machine learning) and that our work has impact on a number of other areas with more traditional computer-based approaches (biosignal processing and control, biomedical engineering), we are providing here additional details on our recent publication.",2019,,,,,,,,,#46,Komorowski 2019,Exclusion reason: replication of existing study; Matthieu Komorowski (2021-12-11 00:44:01)(Select): this was a response to a paper questioning the original AI clinician paper.; ,""
Evaluation of New Hemodynamic Indices to Predict Response to Volemic Expansion in Septic Shock,"","The objective is to determine the sensitivity and specificity via Receiver Operating Characteristic (ROC) curve of Global Longitudinal Strain (GLS) The secondary objectives are the same for the change in the amount of carbon dioxide exhaled (ΔEtCO2) and dynamic arterial elastance (Eadyn). it will also determine the sensitivity and specificity of these indices, either individually or combined to determine persistent responders to volemic expansion.",2019,"May 21, 2019",ClinicalTrials.gov,,,,,,,#696,,Exclusion reason: No learnt component; ,""
Dynamic programming for solving a simulated clinical scenario of sepsis resuscitation,"Zhang, Zhongheng; Zhang, Xiaodian; Gu, Shenhong; Xu, Xiaoqing; Jiang, Wei; Lv, Chuanzhu; Zheng, Shaojiang","BACKGROUND: A major challenge in clinical research is population heterogeneity and we need to consider both historical response and current condition of an individual in considering medical decision making. The idea of precise medicine cannot be fully accounted for in traditional randomized controlled trials. Reinforcement learning (RL) is developing rapidly and has found its way into various fields including clinical medicine in which RL is employed to find an optimal treatment strategy. The key idea of RL is to optimize the treatment policy depending on the current state and previous treatment history, which is consistent with the idea behind dynamic programming (DP). DP is a prototype of RL and can be implemented when the system dynamics can be fully quantified. METHOD(S): The present article aims to illustrate how to perform DP algorithm in a clinical scenario of Sepsis resuscitation. The state transition dynamics are constructed in the framework of Markov Decision Process. The state space is defined by mean arterial pressure (MAP) and lactate; the action space is comprised of fluid administration and vasopressor. The implementation of policy evaluation, policy improvement and iteration are explained with R code. RESULT(S): the DP algorithm was able to find the optimal treatment policy depending on the current states and previous conditions. The iteration process converged at finite steps. We defined several functions such as nextStep(), policyEval() and policy_iteration() to implement the DP algorithm. CONCLUSION(S): This article illustrates how DP can be used to solve a clinical problem. We show that DP is a potential useful tool to tailor treatment strategy to patients with different conditions/states. Potential audience of the paper are those who are interested in using DP for solving clinical problems with dynamic changing states.",2021,,Annals of palliative medicine,10,4,3715-3725,,http://dx.doi.org/10.21037/apm-20-2084,,#3916,Zhang 2021,Exclusion reason: Synthetic data only; ,""
Predictors of progression to septic shock in patients meeting clinical criteria for severe sepsis,"Whiles, Bristol; Deis, Amanda; Simpson, Steven","PURPOSE: To determine identifiable risk factors associated with increased risk of progression of severe sepsis to septic shock. METHOD(S): We developed a retrospective cohort study of severe sepsis patients >=18 years of age admitted through the University of Kansas Hospital emergency department (ED) between 3/1/2007 - 9/30/2015. Severe sepsis was identified by an ICD- 9 diagnosis code (995.92) or by clinical criteria with acute organ dysfunction at >=2 organ sites. Inclusion criteria also required a diagnosed infection, antibiotic administration within 24 hours of ED triage, and recorded length of hospital stay and discharge disposition. The presence of septic shock on presentation at our facility was defined as any of the following within 3 hours of ED triage: 1) systolic blood pressure >90mmHg, 2) mean arterial pressure <65, or 3) vasopressor administration. Since we were interested in the progression of severe sepsis to septic shock, patients with shock on presentation were removed from our study. Progression to septic shock was defined as administration of a vasopressor subsequently during the same hospitalization. Chisquared, t-test, and multivariate regression modeling was used to determine variables predictive of progression from severe sepsis to septic shock. RESULT(S): A total of 8623 patients with severe sepsis were identified, with an average age of 60.1 +/- 16.8 years (mean +/- SD) and including 4480 (52.0%) males. Of these patients, 632 (7.33%) progressed to septic shock during their hospitalization. Age, gender, race, BMI, and Charlson Age-Comorbidity Index were similar among those without and with progression to septic shock. Progression to shock was associated with increased hospital LOS, and increased rates of ICU admission, mortality, and 30-day readmission (7.9 +/- 8.2 days vs 15.5 +/- 13.7 days, p<.0001; 30.1% vs 91.3%, p<.0001 ; 4.1% vs 25.47%, p<.0001). SOFA score and number of infection sites were higher among patients with progression to septic shock vs patients without progression (5.53 +/- 3.13 vs 3.01 +/- 2.12, p<.0001; 2.2 +/- 0.92 vs 1.92 +/- 0.89, p<.0001). Specific organ dysfunction types associated with increased risk of progression to septic shock included respiratory and hematologic dysfunction (DIC) (p<.05). Infections most predictive of progression included pulmonary, bacteremia, abdominal, and iatrogenic infections (p<.05). Comorbid conditions associated with increased risk of progression included coagulopathies, fluid and electrolyte disorders, lymphoma, and weight loss (p<.05). CONCLUSION(S): Specific organ dysfunction, infection, and comorbid condition types are associated with increased progression of severe sepsis to septic shock. Progression to septic shock is associated with adverse patient centered outcomes including longer hospital LOS and higher rates of ICU admission, mortality, and 30-day readmission.",2016,,Chest,150,4 Supplement 1,351A,,http://dx.doi.org/10.1016/j.chest.2016.08.364,,#2413,Whiles 2016,Exclusion reason: Poster / oral presentation; ,""
Unsupervised Machine Learning for Clustering of Septic Patients to Determine Optimal Treatment,"Ritankar Das, MSc","The focus of this study will be to conduct a prospective, randomized controlled trial (RCT) at Cape Regional Medical Center (CRMC), Oroville Hospital (OH), and UCSF Medical Center (UCSF) in which a fluid treatment-specific algorithm will be applied to EHR data for the detection of severe sepsis. For patients determined to have a high risk of severe sepsis, the algorithm will generate automated voice, telephone notification to nursing staff at CRMC, OH, and UCSF. The algorithm's performance will be measured by analysis of the primary endpoint, reductions in in-hospital mortality.",2018,"November 21, 2018",ClinicalTrials.gov,,,,,,,#672,RitankarDas 2018,Exclusion reason:  Predicts sepsis / severe sepsis; Zuzanna Bien (2022-02-08 01:53:54)(Select): https://clinicaltrials.gov/ct2/show/NCT03752489; ,""
Diagnostic Investigation and Prediction of Shock (The DiPS Study),"Timothy H Rainer, M. D.","Background to the research Patients present to Emergency Departments (ED) with a spectrum of illness, many of which are life- threatening. The body has the ability to compensate in the early stages when things go wrong so that on the surface patients do not appear as sick as they really are. Under-diagnosis of severity of illness leads to under-treatment, unnecessary mortality, and unnecessary hospital costs. Earlier diagnosis and consequent treatment will result in prudent healthcare, cost-benefit and better patient outcomes. Evaluating the true underlying patient haemodynamics such as cardiac output, cardiac power and peripheral pressures gives vital clues to the hidden seriousness of illness and is a guide to better management. Few EDs in the world assess such haemodynamics. After evaluating a haemodynamic protocol one centre in Australia was able to reduce its death rate for septic shock at 30 days from 38% to 7%. We would like to evaluate whether the same would occur if applied across EDs in Wales. However, before we can do that we need to strengthen our understanding of haemodynamics, and of relevant protocols and non-invasive devices that help us to acquire such information. Study Design After ethics and institutional approval is obtained from we will conduct a prospective, single-centre, cohort study on 354 adult patients with possible shock associated with an acute illness or injury who present to the Emergency Department of the University Hospital of Wales, and follow them up for 7 days. 354 is a credible number to confirm that the strategy works. Written consent will be obtained either from the patient or a relative wherever possible but a waiver of consent apply to patients who, because of confusion, unconsciousness or severe disability, may be unable to give consent. In these cases, consent will first be sought from a second doctor and/or nurse. Thereafter, consent will be obtained from the patient or a relative as soon as practically possible. What you hope to discover We expect to discover that: - Uscom variables predict 7-day survival and ICU admission - Uscom variables improve the detection and classification of shock - The LiPS definition can be improved. - The objective definition is better than doctors experience - Patients have a good experience and are satisfied with care",2017,"February 2, 2017",ClinicalTrials.gov,,,,,,,#615,TimothyHRainer 2017,Exclusion reason: Non-routinely-collected data; Finneas Catling (2022-02-08 21:04:27)(Select): Uses Ultrasound Cardiac Output Monitor; Myura Nagendran (2022-02-08 01:54:22)(Select): no full-text associated with trial record - ?unpublished; Finneas Catling (2021-09-27 22:10:13)(Screen): Include full text if there is a septic shock subgroup analysis; ,""
